Symbol,Description
ADDIND,Addi Industries Limited
MYSORPETRO,Mysore Petro Chemicals Limited
PALASHSECU,Palash Securities Ltd.
SPLIL,SPL Industries Limited
BANKA,Banka BioLoo Ltd.
MOKSH,Moksh Ornaments Ltd.
BLBLIMITED,BLB Limited
KAYTEX,Kaytex Fabrics Limited
SEMAC,Semac Construction Limited
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd.
HILTON,Hilton Metal Forging Limited
RHFL,Reliance Home Finance Ltd.
VISDEM,Visdem Technosys Limited
ABAN,Aban Offshore Limited
DELAPLEX,DelaPlex Limited
SEL,Sungarner Energies Limited
TERAI,Terai Tea Co. Ltd.
REGENCERAM,Regency Ceramics Ltd
VASUPRADA,Shri Vasuprada Plantations Limited.
CTE,Cambridge Technology Enterprises Limited
CINEVISTA,Cinevista Ltd.
SMLT,Sarthak Metals Ltd
DRONE,Drone Destination Ltd.
CHETANA,Chetana Education Limited
ANMOL,Anmol India Ltd.
ASHALOG,Ashapura Logistics Limited
PARSVNATH,Parsvnath Developers Limited
SHEKHAWATI,Shekhawati Industries Limited
LANDSMILL,Landsmill Green Ltd
RTSPOWR,RTS Power Corporation Ltd
PRAXIS,Praxis Home Retail Ltd.
SWARNSAR,Swarnsarita Jewels India Limited
ORIENTLTD,Orient Press Limited
RICHA,Richa Info Systems Ltd.
MAYASHEEL,Mayasheel Ventures Limited
KSR,KSR Footwear Ltd
RSSOFTWARE,R. S. Software (India) Limited
FIBERWEB,Fiberweb (India) Limited
TRANSCOR,Transcorp International Limited
PREMIUM,Premium Plast Limited
IEML,Indian Emulsifiers Ltd.
DUCON,Ducon Infratechnologies Ltd.
VILINBIO,Vilin Bio Med Ltd.
ICDSLTD,ICDS Ltd.
READYMIX,Readymix Construction Machinery Ltd.
SERVICE,Service Care Limited
ZENITHSTL,Zenith Steel Pipes & Industries Limited
SHRIKRISH,Shri Krishna Devcon Limited
SHREEOSFM,Shree OSFM E-Mobility Limited
SUNLOC,Sunil Healthcare Ltd.
INTEGRITY,Integrity Infrabuild Developers Limited
NIBL,NRB Industrial Bearings Ltd.
BANARBEADS,Banaras Beads Limited
SUNTECH,Suntech Infra Solutions Limited
TSC,TSC India Limited
NOIDATOLL,Noida Toll Bridge Co. Ltd.
JHS,JHS Svendgaard Laboratories Limited
WOMANCART,Womancart Limited
PENTAGON,Pentagon Rubber Limited
MAITREYA,Maitreya Medicare Limited
CGVAK,CG-VAK Software & Exports Ltd.
JAKHARIA,Jakharia Fabric Ltd.
PARASPETRO,Paras Petrofils Limited
REFRACTORY,Refractory Shapes Ltd.
GFSTEELS,Grand Foundry Ltd.
ZENITHDRUG,Zenith Drugs Ltd.
TOKYOPLAST,Tokyo Plast International Ltd
CURAA,Cura Technologies Limited
KHAITANLTD,Khaitan India Ltd.
SAMAY,Samay Project Services Limited
PIONEEREMB,Pioneer Embroideries Limited
ADDICTIVE,Addictive Learning Technology Ltd.
MYMUDRA,My Mudra Fincorp Ltd.
ACCURACY,Accuracy Shipping Ltd.
HDIL,Housing Development & Infrastructure Ltd.
LRRPL,Lead Reclaim & Rubber Products Ltd.
FASCINATE,Fascinate Textiles Limited
UMAEXPORTS,Uma Exports Ltd.
SIGNORIA,Signoria Creation Limited
ENERGYDEV,Energy Development Co. Ltd.
SANGANI,Sangani Hospital Ltd.
TOUCHWOOD,Touchwood Entertainment Ltd.
KLL,Kaushalya Logistics Ltd.
SHKSIL,Shri Hare-Krishna Sponge Iron Limited
BEWLTD,BEW Engineering Ltd.
ATAM,Atam Valves Ltd.
BRACEPORT,Brace Port Logistics Limited
VINEETLAB,Vineet Laboratories Ltd.
RCDL,Rajgor Castor Derivatives Limited
DHANSA,Dhansa Labs Limited
ONYX,Onyx Biotec Ltd.
DIGIDRIVE,Digidrive Distributors Limited
RNPL,Renol Polychem Limited
NGIL,Nakoda Group of Industries Ltd.
HBPOR,HB Portfolio Limited
ALCODIS,Alcokraft Distilleries Limited
AKI,Aki India Limited
KANDARP,Kandarp Digi Smart BPO Limited
SIDDHICOTS,Siddhi Cotspin Limited
ODIGMA,Odigma Consultancy Solutions Limited
ITTL,Innovative Tyres & Tubes Ltd.
PRAKASHSTL,Prakash Steelage Limited
TFL,Transwarranty Finance Limited
DAMODARIND,Damodar Industries Limited
BONLON,Bonlon Industries Ltd
IL&FSTRANS,IL&FS Transportation Networks Limited
UWCSL,Ultra Wiring Connectivity System Ltd.
AISL,ANI Integrated Services Ltd.
OMFURN,Omfurn India Ltd.
PARAMATRIX,Paramatrix Technologies Ltd.
ARVINDPORT,Arvind Port & Infra Ltd.
GENSOL,Gensol Engineering Limited
NEWJAISA,Newjaisa Technologies Limited
ODYCORP,Odyssey Corporation Limited
TRUST,Trust Fintech Limited
LADDERUP,Ladderup Finance Limited
ADROITINFO,Adroit Infotech Limited
MILTON,Milton Industries Ltd.
HRYNSHP,Hariyana Ship Breakers Ltd.
SGLRES,SGL Resources Ltd
DELTAMAGNT,Delta Manufacturing Limited
NAGREEKEXP,Nagreeka Exports Ltd
PSFL,Paramount Speciality Forgings Limited
RILINFRA,Rachana Infrastructure Limited
VDEAL,Vdeal System Ltd.
BULKCORP,Bulkcorp International Limited
DIVYADHAN,Divyadhan Recycling Industries Ltd.
PANACHE,Panache Digilife Ltd.
PALREDTEC,Palred Technologies Limited
HINDALUMI,Hind Aluminium Industries Limited
TPHQ,Teamo Productions HQ Limited
HGM,HandsOn Global Management (HGM) Ltd
AGRITECH,Agri-Tech (India) Ltd.
CRAYONS,Crayons Advertising Ltd.
DCCL,Dar Credit & Capital Limited
ATLASCYCLE,Atlas Cycles Haryana Ltd.
LCCINFOTEC,LCC Infotech Ltd.
MANUGRAPH,Manugraph India Limited
AUSL,Aditya Ultra Steel Limited
SECURKLOUD,SecureKloud Technologies Limited
VEEKAYEM,Veekayem Fashion And Apparels Limited
ANSALAPI,Ansal Properties & Infrastructure Ltd.
ANSALBU,Ansal Buildwell Limited
SUNDARAM,Sundaram Multi Pap Limited
MALUPAPER,Malu Paper Mills Limited
MANAV,Manav Infra Projects Ltd.
MHHL,Mohini Health & Hygiene Ltd.
SAJHOTELS,Saj Hotels Limited
3PLAND,3P Land Holdings Limited
K2INFRA,K2 Infragen Limited
ABH,ABH Healthcare Limited
AJOONI,Ajooni Biotech Limited
PRESSTONIC,Presstonic Engineering Limited
DKEGL,D.K. Enterprises Global Limited
LAMOSAIC,Lamosaic India Ltd.
FMNL,Future Market Networks Limited
VEDAVAAG,Vedavaag Systems Limited
GANGAFORGE,Ganga Forging Limited
RULKA,Rulka Electricals Ltd
SONUINFRA,Sonu Infratech Ltd.
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Ltd.
DECCANTRAN,Deccan Transcon Leasing Limited
NAMAN,Naman Industries Proxima Limited
BALKRISHNA,Balkrishna Paper Mills Ltd.
MANGALAM,Mangalam Drugs & Organics Ltd.
MARCO,Marco Cables & Conductors Ltd.
BIOPOL,Biopol Chemicals Ltd.
SHIVAMILLS,Shiva Mills Ltd.
SFML,Supreme Facility Management Limited
VISAMAN,Visaman Global Sales Limited
MMEL,Moving Media Entertainment Limited
GANGABATH,Ganga Bath Fittings Limited
TROM,Trom Industries Limited
MOHITE,Mohite Industries Ltd.
DELTIC,Delta Autocorp Limited
HYBRIDFIN,Hybrid Financial Services Ltd.
COUNCODOS,Country Condo's Limited
TRU,TruCap Finance Limited
IMPEXFERRO,Impex Ferro Tech Ltd
ORCHASP,Orchasp Ltd
SATECH,S A Tech Software India Ltd.
AGROPHOS,Agro Phos India Ltd.
AHLADA,Ahlada Engineers Limited
STUDIOLSD,Studio LSD Limited
JAIPURKURT,Nandani Creation Ltd.
KARMAENG,Karma Energy Limited
PULZ,Pulz Electronics Ltd.
TOYAMSL,Toyam Sports Limited
PHOENXINTL,Phoenix International Limited
AUSTENG,Austin Engineering Co. Ltd.
SUVIDHAA,Suvidhaa Infoserve Limited
CHAMUNDA,Chamunda Electrical Limited
VIVIMEDLAB,Vivimed Labs Limited
PRANIK,Pranik Logistics Limited
WHITEFORCE,Happy Square Outsourcing Services Limited
GAYAHWS,Gayatri Highways Ltd.
ABMINTLLTD,ABM International Ltd.
CADSYS,Cadsys (India) Ltd.
GRAPHISAD,Graphisads Limited
RAJTV,Raj Television Network Limited
SILKY,Silky Overseas Ltd.
PRUDMOULI,Prudential Sugar Corp. Ltd.
BANG,Bang Overseas Limited
SNEHAA,Snehaa Organics Ltd.
SAMBANDAM,Sambandam Spinning Mills Limited
DHATRE,Dhatre Udyog Ltd
ABHAPOWER,Abha Power & Steel Ltd.
BAWEJA,Baweja Studios Limited
SONAMAC,Sona Machinery Ltd.
MASKINVEST,Mask Investments Ltd
RKEC,RKEC Projects Ltd.
PRITI,Priti International Ltd.
ITALIANE,Italian Edibles Limited
RKDL,Ravikumar Distilleries Ltd.
SIEL,Superior Industrial Enterprises Limited
VINNY,Vinny Overseas Ltd.
WEWIN,We Win Ltd.
EFORCE,Electro Force (India) Limited
AATMAJ,Aatmaj Healthcare Limited
CELEBRITY,Celebrity Fashions Limited
AUROIMPEX,Auro Impex & Chemicals Ltd.
ATCENERGY,Atc Energies System Limited
CYBERMEDIA,Cyber Media (India) Limited
AMBICAAGAR,Ambica Agarbathies & Aroma Industries Ltd.
SITINET,Siti Networks Limited
LEENEE,Lee & Nee Softwares (Exports) Ltd
SVPGLOB,SVP Global Textiles Limited
REXPRO,Rexpro Enterprises Ltd.
ARCHIES,Archies Limited
TNTELE,Tamilnadu Telecommunications Ltd.
GOLDENTOBC,Golden Tobacco Limited
SHIVAAGRO,Shiva Global Agro Industries Limited
BMETRICS,Bombay Metrics Supply Chain Ltd.
AKASH,Akash Infra-Projects Ltd.
PBMPOLY,PBM Polytex Ltd.
SIMPLXREA,Simplex Realty Limited
21STCENMGM,Twentyfirst Century Management Services Limited
BLUECOAST,Blue Coast Hotels Limited
VLINFRA,V.L.Infraprojects Limited
SAGARDEEP,Sagardeep Alloys Ltd.
DHRUV,Dhruv Consultancy Services Ltd.
OSIAHYPER,Osia Hyper Retail Limited
VISHWAS,Vishwas Agri Seeds Limited
LFIC,Lakshmi Finance & Industrial Corp. Ltd.
SWASTIK,Swastik Pipe Ltd.
DHANLAXMI,Dhanlaxmi Crop Science Ltd.
ADL,Archidply Decor Ltd
NMSTEEL,Newmalayalam Steel Limited
SOCL,Sundrex Oil Company Limited
SUPERSPIN,Super Spinning Mills Limited
SYNOPTICS,Synoptics Technologies Limited
UNILEX,Unilex Colours & Chemicals Limited
VERTEXPLUS,Vertexplus Technologies Ltd.
ORIENTALTL,Oriental Trimex Limited
HBSL,HB Stockholdings Ltd.
VIVOBIOT,Vivo Bio Tech Ltd.
BABAFP,Baba Food Processing (India) Limited
NKIND,N.K. Industries Ltd.
ASHOKAMET,Ashoka Metcast Limited
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
SANWARIA,Sanwaria Consumer Ltd
DEEM,Deem Roll-Tech Ltd.
ARCIIL,ARC Insulation & Insulators Limited
HOMESFY,Homesfy Realty Ltd.
VMOBILE,Vinit Mobile Ltd.
SEYAIND,Seya Industries Ltd.
SHRIKANHA,Shri Kanha Stainless Limited
AROGRANITE,ARO Granite Industries Limited
GKB,Gkb Ophthalmics Limited
MORARJEE,Morarjee Textiles Limited
VICTORYEV,Victory Electric Vehicles International Limited
LIBAS,Libas Consumer Products Ltd.
CEREBRAINT,Cerebra Integrated Technologies Limited
HRHNEXT,HRH Next Services Limited
MOHITIND,Mohit Industries Limited
KONTOR,Kontor Space Ltd.
CLCIND,CLC Industries Limited
PROLIFE,Prolife Industries Ltd.
MEDIORG,Medicamen Organics Ltd.
BLUEPEBBLE,Blue Pebble Limited
AKSHAR,Akshar Spintex Ltd.
AKG,AKG Exim Ltd.
MEDICAPQ,Medi-Caps Ltd.
MADHAV,Madhav Marbles & Granites Ltd.
VSCL,Vadivarhe Speciality Chemicals Ltd.
EASTSILK,Eastern Silk Industries Limited
SIMBHALS,Simbhaoli Sugars Ltd
MADHUCON,Madhucon Projects Limited
MEDISTEP,Medistep Healthcare Limited
VIVO,Vivo Collaboration Solutions Limited
KEEPLEARN,DSJ Keep Learning Limited
POLYSPIN,Polyspin Exports Limited
LASA,Lasa Supergenerics Ltd.
FELDVR,Future Enterprises Ltd. Class B
FEL,Future Enterprises Ltd
AGNI,Agni Green Power Ltd.
KAUSHALYA,Kaushalya Infrastructure Development Corporation Ltd
VCL,Vaxtex Cotfab Ltd
BURNPUR,Burnpur Cement Limited
EASTWEST,East West Freight Carriers Ltd
PHOGLOBAL,Phoenix Overseas Limited
MCON,MCON Rasayan India Ltd.
KANANIIND,Kanani Industries Limited
NFPSAMPOOR,NFP Sampoorna Foods Limited
DNAMEDIA,Diligent Media Corp. Ltd.
GSS,GSS Infotech Limited
PEARLPOLY,Pearl Polymers Limited
ARMOUR,Armour Security (India) Ltd.
PARAMOUNT,Paramount Dye Tec Limited
CELLPOINT,Cell Point (India) Limited
GML,Galaxy Medicare Limited
LEXUS,Lexus Granito (India) Ltd.
INFOMEDIA,Infomedia Press Ltd.
QFIL,Quality Foils (India) Limited
TGBHOTELS,TGB Banquets & Hotels Ltd.
SGL,STL Global Limited
WILLAMAGOR,Williamson Magor & Co.Ltd.
BOSS,Boss Packaging Solutions Limited
KANCOTEA,Kanco Tea & Industries Ltd.
KHANDSE,Khandwala Securities Limited
NEXTMEDIA,Next Mediaworks Limited
MICROPRO,Micropro Software Solutions Limited
VIRTUALG,Virtual Global Education Ltd.
SKYTECH,Skytech Infinite Platform Ltd.
AGSTRA,AGS Transact Technologies Ltd.
ANKITMETAL,Ankit Metal & Power Limited
AGUL,A G Universal Limited
KALANA,Kalana Ispat Ltd.
TREEHOUSE,Tree House Education & Accessories Limited
ARUNAYA,Arunaya Organics Limited
KAMANWALA,Kamanwala Housing & Construction Ltd.
IDENTICAL,Identical Brains Studios Limited
PRISMX,Prismx Global Ventures Ltd.
TARAPUR,Tarapur Transformers Limited
PNC,PNC Media and Entertainment Ltd
YUDIZ,Yudiz Solutions Limited
GTECJAINX,G-Tech Jainx Education Ltd.
QVCEL,QVC Exports Limited
QUICKTOUCH,Quicktouch Technologies Limited
ASIANTNE,Asian Tea & Exports Ltd.
FLFL,Future Lifestyle Fashions Ltd.
LAXMICOT,Laxmi Cotspin Ltd.
CRESTO,Cresto Techno Limited
MPDL,MPDL Ltd
MIEL,Manglam Infra & Engineering Ltd.
GUJRAFFIA,Gujarat Raffia Industries Limited
NIRMAN,Nirman Agri Genetics Ltd.
MFML,Mahalaxmi Fabric Mills Limited
HAVISHA,Sri Havisha Hospitality And Infrastructure Ltd
TIJARIA,Tijaria Polypipes Limited
MANDEEP,Mandeep Auto Industries Limited
SKIL,SKIL Infrastructure Limited
STLSTRINF,Steel Strips Infrastructures Ltd.
CMRSL,Cyber Media Research & Services Ltd.
TCIFINANCE,TCI Finance Limited
ASPIRE,Aspire & Innovative Advertising Limited
SPRL,SP Refractories Ltd.
SHUBHLAXMI,Shubhlaxmi Jewel Art Ltd.
MPTODAY,Madhya Pradesh Today Media Ltd.
GSTL,Globesecure Technologies Ltd.
TAPIFRUIT,Tapi Fruit Processing Ltd.
AGARWALFT,Agarwal Float Glass India Limited
SPPPOLY,SPP Polymer Ltd.
ARSHIYA,Arshiya Limited
RADIOWALLA,Radiowalla Network Limited
NIDAN,Nidan Laboratories and Healthcare Limited
ACEINTEG,Ace Integrated Solutions Ltd.
BOHRAIND,Bohra Industries Ltd.
TGL,Teerth Gopicon Ltd.
SHRENIK,Shrenik Limited
MARINETRAN,Marinetrans India Ltd.
MPEL,Manas Polymers & Energies Ltd.
TECILCHEM,TECIL Chemicals & Hydro Power Ltd
KRIDHANINF,Kridhan Infra Limited
SATIPOLY,Sati Poly Plast Ltd.
TRIDHYA,Tridhya Tech Limited
NIRAJISPAT,Niraj Ispat Industries Ltd
THESL,Thinking Hats Entertainment Solutions Limited
YCCL,Yasons Chemex Care Limited
SAROJA,Saroja Pharma Industries India Ltd.
SUNREST,Sunrest Lifescience Limited
HEADSUP,Heads UP Ventures Limited
RADAAN,Radaan Mediaworks (I) Ltd.
SMVD,SMVD Poly Pack Limited
CEDAAR,Cedaar Textile Ltd.
VIVIDHA,Visagar Polytex Limited
NEELAM,Neelam Linens and Garments (India) Limited
GAJANAND,Gajanand International Ltd.
RETAIL,JHS Svendgaard Retail Ventures Pvt Ltd
MONOPHARMA,Mono Pharmacare Limited
PRECISION,Precision Metaliks Ltd.
AURUS,Aurus Gem Corporation Limited
GLFL,Gujarat Lease Financing Limited
ASTRON,Astron Paper & Board Mill Ltd.
CONTI,Continental Seeds & Chemicals Ltd.
BILVYAPAR,Bil Vyapar Ltd
UNIVAFOODS,Univa Foods Limited
SHYAMTEL,Shyam Telecom Limited
ORTINGLOBE,Ortin Global Ltd
MTEDUCARE,MT Educare Ltd
AMIABLE,Amiable Logsitics (India) Ltd.
INSPIRE,Inspire Films Ltd.
UNIINFO,Uniinfo Telecom Services Ltd.
MEP,MEP Infrastructure Developers Ltd.
BLUECHIP,Blue Chip India Ltd
UMESLTD,Usha Martin Education & Solutions Limited
GLOBALE,Globale Tessile Ltd
ANTGRAPHIC,Antarctica Ltd
GRADIENTE,Gradiente Infotainment Ltd.
DCMFINSERV,DCM Financial Services Limited
CREATIVEYE,Creative Eye Limited
PLADAINFO,Plada Infotech Services Limited
SHANTHALA,Shanthala FMCG Products Ltd.
EDUCOMP,Educomp Solutions Limited
TVVISION,TV Vision Ltd.
MAKS,Maks Energy Solutions India Limited
JIWANRAM,Jiwanram Sheoduttrai Industries Ltd.
CBAZAAR,Net Avenue Technologies Ltd.
EUROTEXIND,Eurotex Industries & Exports Ltd.
ARENTERP,Rajdarshan Industries Limited
COMPINFO,Compuage Infocom Ltd
BALCO,Solve Plastic Products Limited
DHTL,Docmode Health Technologies Limited
DSKULKARNI,DS Kulkarni Developers Ltd
INDIFRA,Indifra Ltd.
PPSL,Picturepost Studios Limited
FLEXITUFF,Flexituff Ventures International Limited
RITEZONE,Rite Zone Chemcon India Ltd.
PREMIER,Premier Limited
SETUINFRA,Setubandhan Infrastructure Ltd
ORTEL,Ortel Communications Limited
VERITAAS,Veritaas Advertising Ltd.
WINNY,Winny Immigration & Education Services Ltd.
FALCONTECH,Falcon Technoprojects India Ltd.
SHANTI,Shanti Overseas (India) Ltd.
LAKPRE,Lakshmi Precision Screws Limited
BGLOBAL,Bharatiya Global Infomedia Limited
CMICABLES,CMI Limited
QUINTEGRA,Quintegra Solutions Limited
MITTAL,Mittal Life Style Ltd.
RAJVIR,Rajvir Industries Limited
PERFECT,Perfect Infraengineers Ltd.
JALAN,Jalan Transolutions (India) Limited
VASA,Vasa Retail & Overseas Ltd.
ISHAN,Ishan International Limited
NDRINVIT,Ndr Invit Trust
SAICAPI,Sai Capital Ltd.
NEPHROCARE,Nephro Care India Limited
SHAIVAL,Shaival Reality Ltd.
KJMCFIN,KJMC Financial Services Limited
APSISAERO,Apsis Aerocom Limited
RIIT,Raajmarg Infra Investment Trust
STRIDERS,Striders Impex Limited
JFLLIFE,JFL Life Sciences Limited
GKWLIMITED,GKW Ltd.
RFBL,RFBL Flexi Pack Limited
WALPAR,Walpar Nutritions Ltd.
ENSER,Enser Communications Limited
KKVAPOW,KKV Agro Powers Ltd.
ARHAM,Arham Technologies Limited
SARTELE,SAR Televenture Limited
GREENLEAF,Greenleaf Envirotech Limited
SRIKPRIND,Sri KPR Industries Ltd.
SUMEDHA,Sumedha Fiscal Services Ltd
GURUNANAK,Gurunanak Agriculture India Limited
ARISTO,Aristo Bio Tech and Lifescience Limited
APOORVA,Apoorva Leasing Finance & Investment Co. Ltd.
BMLL,Bio Medica Laboratories Limited
KDL,Kore Digital Limited
ACETEC,Acetech E-Commerce Ltd.
INVICTA,Invicta Diagnostic limited
UMA,Uma Converter Limited
ADVIKCA,Advik Capital Ltd
AILIMITED,Abhishek Integrations Ltd.
ETL,Emkay Tools Limited
TIMESCAN,Timescan Logistics (India) Limited
BIRDYS,Grill Splendour Services Ltd.
SAIFL,Sameera Agro and Infra Limited
QUADPRO,Quadpro ITeS Ltd.
AGL,Allcargo Global Limited
MOXSH,Moxsh Overseas Educon Limited
